16/03/31 01:01:43 INFO client.RMProxy: Connecting to ResourceManager at ec2-52-36-82-211.us-west-2.compute.amazonaws.com/172.31.6.22:9050
16/03/31 01:01:43 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
16/03/31 01:01:43 INFO input.FileInputFormat: Total input paths to process : 1
16/03/31 01:01:44 INFO mapreduce.JobSubmitter: number of splits:798
16/03/31 01:01:44 INFO Configuration.deprecation: mapred.textoutputformat.separator is deprecated. Instead, use mapreduce.output.textoutputformat.separator
16/03/31 01:01:44 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1459379192543_0003
16/03/31 01:01:44 INFO impl.YarnClientImpl: Submitted application application_1459379192543_0003
16/03/31 01:01:44 INFO mapreduce.Job: The url to track the job: http://ec2-52-36-82-211.us-west-2.compute.amazonaws.com:9006/proxy/application_1459379192543_0003/
16/03/31 01:01:44 INFO mapreduce.Job: Running job: job_1459379192543_0003
16/03/31 01:01:52 INFO mapreduce.Job: Job job_1459379192543_0003 running in uber mode : false
16/03/31 01:01:52 INFO mapreduce.Job:  map 0% reduce 0%
16/03/31 01:02:25 INFO mapreduce.Job:  map 1% reduce 0%
16/03/31 01:02:49 INFO mapreduce.Job:  map 2% reduce 0%
16/03/31 01:03:13 INFO mapreduce.Job:  map 3% reduce 0%
16/03/31 01:03:35 INFO mapreduce.Job:  map 4% reduce 0%
16/03/31 01:03:58 INFO mapreduce.Job:  map 5% reduce 0%
16/03/31 01:04:24 INFO mapreduce.Job:  map 6% reduce 0%
16/03/31 01:04:48 INFO mapreduce.Job:  map 7% reduce 0%
16/03/31 01:05:09 INFO mapreduce.Job:  map 8% reduce 0%
16/03/31 01:05:24 INFO mapreduce.Job:  map 9% reduce 0%
16/03/31 01:05:44 INFO mapreduce.Job:  map 10% reduce 0%
16/03/31 01:06:03 INFO mapreduce.Job:  map 11% reduce 0%
16/03/31 01:06:23 INFO mapreduce.Job:  map 12% reduce 0%
16/03/31 01:06:39 INFO mapreduce.Job:  map 13% reduce 0%
16/03/31 01:06:58 INFO mapreduce.Job:  map 14% reduce 0%
16/03/31 01:07:19 INFO mapreduce.Job:  map 15% reduce 0%
16/03/31 01:07:25 INFO mapreduce.Job:  map 15% reduce 1%
16/03/31 01:07:35 INFO mapreduce.Job:  map 16% reduce 1%
16/03/31 01:07:50 INFO mapreduce.Job:  map 17% reduce 1%
16/03/31 01:08:04 INFO mapreduce.Job:  map 18% reduce 1%
16/03/31 01:08:21 INFO mapreduce.Job:  map 19% reduce 1%
16/03/31 01:08:37 INFO mapreduce.Job:  map 20% reduce 1%
16/03/31 01:08:56 INFO mapreduce.Job:  map 21% reduce 1%
16/03/31 01:09:14 INFO mapreduce.Job:  map 22% reduce 1%
16/03/31 01:09:34 INFO mapreduce.Job:  map 23% reduce 1%
16/03/31 01:09:52 INFO mapreduce.Job:  map 24% reduce 1%
16/03/31 01:10:09 INFO mapreduce.Job:  map 25% reduce 1%
16/03/31 01:10:26 INFO mapreduce.Job:  map 26% reduce 1%
16/03/31 01:10:47 INFO mapreduce.Job:  map 27% reduce 1%
16/03/31 01:11:04 INFO mapreduce.Job:  map 28% reduce 1%
16/03/31 01:11:23 INFO mapreduce.Job:  map 29% reduce 1%
16/03/31 01:11:45 INFO mapreduce.Job:  map 30% reduce 1%
16/03/31 01:12:00 INFO mapreduce.Job:  map 31% reduce 1%
16/03/31 01:12:17 INFO mapreduce.Job:  map 32% reduce 1%
16/03/31 01:12:34 INFO mapreduce.Job:  map 33% reduce 1%
16/03/31 01:12:38 INFO mapreduce.Job:  map 33% reduce 2%
16/03/31 01:12:55 INFO mapreduce.Job:  map 34% reduce 2%
16/03/31 01:13:09 INFO mapreduce.Job:  map 35% reduce 2%
16/03/31 01:13:29 INFO mapreduce.Job:  map 36% reduce 2%
16/03/31 01:13:46 INFO mapreduce.Job:  map 37% reduce 2%
16/03/31 01:14:07 INFO mapreduce.Job:  map 38% reduce 2%
16/03/31 01:14:24 INFO mapreduce.Job:  map 39% reduce 2%
16/03/31 01:14:40 INFO mapreduce.Job:  map 40% reduce 2%
16/03/31 01:14:57 INFO mapreduce.Job:  map 41% reduce 2%
16/03/31 01:15:15 INFO mapreduce.Job:  map 42% reduce 2%
16/03/31 01:15:34 INFO mapreduce.Job:  map 43% reduce 2%
16/03/31 01:15:53 INFO mapreduce.Job:  map 44% reduce 2%
16/03/31 01:16:11 INFO mapreduce.Job:  map 45% reduce 2%
16/03/31 01:16:29 INFO mapreduce.Job:  map 46% reduce 2%
16/03/31 01:16:48 INFO mapreduce.Job:  map 47% reduce 2%
16/03/31 01:17:05 INFO mapreduce.Job:  map 48% reduce 2%
16/03/31 01:17:22 INFO mapreduce.Job:  map 49% reduce 2%
16/03/31 01:17:27 INFO mapreduce.Job:  map 49% reduce 3%
16/03/31 01:17:41 INFO mapreduce.Job:  map 50% reduce 3%
16/03/31 01:18:00 INFO mapreduce.Job:  map 51% reduce 3%
16/03/31 01:18:21 INFO mapreduce.Job:  map 52% reduce 3%
16/03/31 01:18:35 INFO mapreduce.Job:  map 53% reduce 3%
16/03/31 01:18:54 INFO mapreduce.Job:  map 54% reduce 3%
16/03/31 01:19:10 INFO mapreduce.Job:  map 55% reduce 3%
16/03/31 01:19:29 INFO mapreduce.Job:  map 56% reduce 3%
16/03/31 01:19:46 INFO mapreduce.Job:  map 57% reduce 3%
16/03/31 01:20:01 INFO mapreduce.Job:  map 58% reduce 3%
16/03/31 01:20:21 INFO mapreduce.Job:  map 59% reduce 3%
16/03/31 01:20:40 INFO mapreduce.Job:  map 60% reduce 3%
16/03/31 01:20:56 INFO mapreduce.Job:  map 61% reduce 3%
16/03/31 01:21:18 INFO mapreduce.Job:  map 62% reduce 3%
16/03/31 01:21:34 INFO mapreduce.Job:  map 63% reduce 3%
