16/03/30 23:16:18 INFO client.RMProxy: Connecting to ResourceManager at ec2-52-36-82-211.us-west-2.compute.amazonaws.com/172.31.6.22:9050
16/03/30 23:16:18 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
16/03/30 23:16:18 INFO input.FileInputFormat: Total input paths to process : 1
16/03/30 23:16:19 INFO mapreduce.JobSubmitter: number of splits:75
16/03/30 23:16:19 INFO Configuration.deprecation: mapred.textoutputformat.separator is deprecated. Instead, use mapreduce.output.textoutputformat.separator
16/03/30 23:16:19 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1459379192543_0002
16/03/30 23:16:20 INFO impl.YarnClientImpl: Submitted application application_1459379192543_0002
16/03/30 23:16:20 INFO mapreduce.Job: The url to track the job: http://ec2-52-36-82-211.us-west-2.compute.amazonaws.com:9006/proxy/application_1459379192543_0002/
16/03/30 23:16:20 INFO mapreduce.Job: Running job: job_1459379192543_0002
16/03/30 23:16:30 INFO mapreduce.Job: Job job_1459379192543_0002 running in uber mode : false
16/03/30 23:16:30 INFO mapreduce.Job:  map 0% reduce 0%
16/03/30 23:16:44 INFO mapreduce.Job:  map 1% reduce 0%
16/03/30 23:16:47 INFO mapreduce.Job:  map 2% reduce 0%
16/03/30 23:16:50 INFO mapreduce.Job:  map 3% reduce 0%
16/03/30 23:16:51 INFO mapreduce.Job:  map 4% reduce 0%
16/03/30 23:16:54 INFO mapreduce.Job:  map 5% reduce 0%
16/03/30 23:16:56 INFO mapreduce.Job:  map 6% reduce 0%
16/03/30 23:16:58 INFO mapreduce.Job:  map 7% reduce 0%
16/03/30 23:16:59 INFO mapreduce.Job:  map 8% reduce 0%
16/03/30 23:17:01 INFO mapreduce.Job:  map 9% reduce 0%
16/03/30 23:17:03 INFO mapreduce.Job:  map 10% reduce 0%
16/03/30 23:17:06 INFO mapreduce.Job:  map 11% reduce 0%
16/03/30 23:17:11 INFO mapreduce.Job:  map 12% reduce 0%
16/03/30 23:17:18 INFO mapreduce.Job:  map 13% reduce 0%
16/03/30 23:17:24 INFO mapreduce.Job:  map 14% reduce 0%
16/03/30 23:17:31 INFO mapreduce.Job:  map 15% reduce 0%
16/03/30 23:17:38 INFO mapreduce.Job:  map 16% reduce 0%
16/03/30 23:17:46 INFO mapreduce.Job:  map 17% reduce 0%
16/03/30 23:17:54 INFO mapreduce.Job:  map 18% reduce 0%
16/03/30 23:17:59 INFO mapreduce.Job:  map 19% reduce 0%
16/03/30 23:18:01 INFO mapreduce.Job:  map 20% reduce 0%
16/03/30 23:18:04 INFO mapreduce.Job:  map 21% reduce 0%
16/03/30 23:18:06 INFO mapreduce.Job:  map 22% reduce 0%
16/03/30 23:18:09 INFO mapreduce.Job:  map 23% reduce 0%
16/03/30 23:18:12 INFO mapreduce.Job:  map 24% reduce 0%
16/03/30 23:18:14 INFO mapreduce.Job:  map 25% reduce 0%
16/03/30 23:18:16 INFO mapreduce.Job:  map 26% reduce 0%
16/03/30 23:18:19 INFO mapreduce.Job:  map 27% reduce 0%
16/03/30 23:18:22 INFO mapreduce.Job:  map 28% reduce 0%
16/03/30 23:18:24 INFO mapreduce.Job:  map 29% reduce 0%
16/03/30 23:18:26 INFO mapreduce.Job:  map 30% reduce 0%
16/03/30 23:18:29 INFO mapreduce.Job:  map 31% reduce 0%
16/03/30 23:18:31 INFO mapreduce.Job:  map 32% reduce 0%
16/03/30 23:18:34 INFO mapreduce.Job:  map 33% reduce 0%
16/03/30 23:18:36 INFO mapreduce.Job:  map 34% reduce 0%
16/03/30 23:18:39 INFO mapreduce.Job:  map 35% reduce 0%
16/03/30 23:18:41 INFO mapreduce.Job:  map 36% reduce 0%
16/03/30 23:18:44 INFO mapreduce.Job:  map 37% reduce 0%
16/03/30 23:18:46 INFO mapreduce.Job:  map 38% reduce 0%
16/03/30 23:18:49 INFO mapreduce.Job:  map 39% reduce 0%
16/03/30 23:18:51 INFO mapreduce.Job:  map 40% reduce 0%
16/03/30 23:18:54 INFO mapreduce.Job:  map 41% reduce 0%
16/03/30 23:18:56 INFO mapreduce.Job:  map 42% reduce 0%
16/03/30 23:18:58 INFO mapreduce.Job:  map 43% reduce 0%
16/03/30 23:19:00 INFO mapreduce.Job:  map 44% reduce 0%
16/03/30 23:19:02 INFO mapreduce.Job:  map 45% reduce 0%
16/03/30 23:19:04 INFO mapreduce.Job:  map 46% reduce 0%
16/03/30 23:19:07 INFO mapreduce.Job:  map 47% reduce 0%
16/03/30 23:19:09 INFO mapreduce.Job:  map 48% reduce 0%
16/03/30 23:19:11 INFO mapreduce.Job:  map 49% reduce 0%
16/03/30 23:19:14 INFO mapreduce.Job:  map 50% reduce 0%
16/03/30 23:19:16 INFO mapreduce.Job:  map 51% reduce 0%
16/03/30 23:19:19 INFO mapreduce.Job:  map 52% reduce 0%
16/03/30 23:19:22 INFO mapreduce.Job:  map 53% reduce 0%
16/03/30 23:19:25 INFO mapreduce.Job:  map 54% reduce 0%
16/03/30 23:19:26 INFO mapreduce.Job:  map 55% reduce 0%
16/03/30 23:19:28 INFO mapreduce.Job:  map 56% reduce 0%
16/03/30 23:19:30 INFO mapreduce.Job:  map 57% reduce 0%
