16/03/30 03:56:39 INFO client.RMProxy: Connecting to ResourceManager at ec2-52-36-82-211.us-west-2.compute.amazonaws.com/172.31.6.22:9050
16/03/30 03:56:40 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
16/03/30 03:56:40 INFO input.FileInputFormat: Total input paths to process : 1
16/03/30 03:56:40 INFO mapreduce.JobSubmitter: number of splits:75
16/03/30 03:56:40 INFO Configuration.deprecation: mapred.textoutputformat.separator is deprecated. Instead, use mapreduce.output.textoutputformat.separator
16/03/30 03:56:41 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1459309616944_0001
16/03/30 03:56:41 INFO impl.YarnClientImpl: Submitted application application_1459309616944_0001
16/03/30 03:56:41 INFO mapreduce.Job: The url to track the job: http://ec2-52-36-82-211.us-west-2.compute.amazonaws.com:9006/proxy/application_1459309616944_0001/
16/03/30 03:56:41 INFO mapreduce.Job: Running job: job_1459309616944_0001
16/03/30 03:56:51 INFO mapreduce.Job: Job job_1459309616944_0001 running in uber mode : false
16/03/30 03:56:51 INFO mapreduce.Job:  map 0% reduce 0%
16/03/30 03:57:23 INFO mapreduce.Job:  map 1% reduce 0%
16/03/30 03:57:24 INFO mapreduce.Job:  map 2% reduce 0%
16/03/30 03:57:27 INFO mapreduce.Job:  map 3% reduce 0%
16/03/30 03:57:34 INFO mapreduce.Job:  map 4% reduce 0%
16/03/30 03:57:47 INFO mapreduce.Job:  map 5% reduce 0%
16/03/30 03:58:01 INFO mapreduce.Job:  map 6% reduce 0%
16/03/30 03:58:05 INFO mapreduce.Job:  map 7% reduce 0%
16/03/30 03:58:09 INFO mapreduce.Job:  map 8% reduce 0%
16/03/30 03:58:41 INFO mapreduce.Job:  map 9% reduce 0%
16/03/30 03:58:45 INFO mapreduce.Job:  map 10% reduce 0%
16/03/30 03:58:47 INFO mapreduce.Job:  map 11% reduce 0%
16/03/30 03:58:51 INFO mapreduce.Job:  map 12% reduce 0%
16/03/30 03:59:05 INFO mapreduce.Job:  map 13% reduce 0%
16/03/30 03:59:16 INFO mapreduce.Job:  map 14% reduce 0%
16/03/30 03:59:22 INFO mapreduce.Job:  map 15% reduce 0%
16/03/30 03:59:27 INFO mapreduce.Job:  map 16% reduce 0%
16/03/30 03:59:55 INFO mapreduce.Job:  map 17% reduce 0%
16/03/30 04:00:00 INFO mapreduce.Job:  map 18% reduce 0%
16/03/30 04:00:03 INFO mapreduce.Job:  map 19% reduce 0%
16/03/30 04:00:07 INFO mapreduce.Job:  map 20% reduce 0%
16/03/30 04:00:22 INFO mapreduce.Job:  map 21% reduce 0%
16/03/30 04:00:26 INFO mapreduce.Job:  map 22% reduce 0%
16/03/30 04:00:38 INFO mapreduce.Job:  map 23% reduce 0%
16/03/30 04:00:42 INFO mapreduce.Job:  map 24% reduce 0%
16/03/30 04:01:07 INFO mapreduce.Job:  map 24% reduce 1%
16/03/30 04:01:09 INFO mapreduce.Job:  map 25% reduce 1%
16/03/30 04:01:13 INFO mapreduce.Job:  map 25% reduce 2%
16/03/30 04:01:18 INFO mapreduce.Job:  map 26% reduce 2%
16/03/30 04:01:22 INFO mapreduce.Job:  map 27% reduce 2%
16/03/30 04:01:23 INFO mapreduce.Job:  map 27% reduce 3%
